ucsc,hgnc_symbol
uc001aak.4,FAM138A
uc001aal.1,OR4F5
uc001aaq.3,
uc001aar.3,
uc001abp.3,LINC01128
uc001abt.5,FAM41C
uc001abu.1,
uc001abw.2,SAMD11
uc001abz.5,NOC2L
uc001aca.3,KLHL17
uc001acb.2,KLHL17
uc001acd.4,PLEKHN1
uc001ace.4,PLEKHN1
uc001acf.4,PLEKHN1
uc001acg.3,PERM1
uc001ach.3,PERM1
uc001aci.3,HES4
uc001acj.5,ISG15
uc001ack.3,AGRN
uc001acn.3,C1orf159
uc001act.3,C1orf159
uc001acu.3,C1orf159
uc001acv.4,LINC01342
uc001acw.3,MIR200B
uc001acx.2,TTLL10-AS1
uc001acy.2,TTLL10
uc001acz.3,TTLL10
uc001ada.4,TNFRSF18
uc001adb.4,TNFRSF18
uc001adc.4,TNFRSF18
uc001add.4,TNFRSF18
uc001ade.4,TNFRSF4
uc001adg.4,SDF4
uc001adh.5,SDF4
uc001adi.5,SDF4
uc001adk.4,B3GALT6
uc001adl.3,C1QTNF12
uc001adm.6,UBE2J2
uc001ado.4,UBE2J2
uc001adp.4,UBE2J2
uc001adq.4,UBE2J2
uc001adr.4,UBE2J2
uc001adt.2,SCNN1D
uc001adw.3,SCNN1D
uc001aeb.3,ACAP3
uc001aec.2,ACAP3
uc001aed.4,PUSL1
uc001aee.3,INTS11
uc001aef.2,INTS11
uc001aeh.3,INTS11
uc001aei.2,INTS11
uc001aek.3,INTS11
uc001ael.4,INTS11
uc001aeo.4,CPTP
uc001aer.5,DVL1
uc001aew.5,MXRA8
uc001aex.6,MXRA8
uc001aez.4,MXRA8
uc001afa.5,MXRA8
uc001afb.2,AURKAIP1
uc001afc.3,AURKAIP1
uc001afd.3,AURKAIP1
uc001afi.3,CCNL2
uc001afo.5,MRPL20
uc001afp.3,ANKRD65
uc001afq.4,ANKRD65
uc001afr.4,VWA1
uc001afs.4,VWA1
uc001aft.2,ATAD3C
uc001afv.4,ATAD3B
uc001afx.4,ATAD3B
uc001afz.3,ATAD3A
uc001aga.3,ATAD3A
uc001agb.2,ATAD3A
uc001agd.4,SSU72
uc001age.2,SSU72
uc001agg.4,MIB2
uc001agh.4,MIB2
uc001agi.4,MIB2
uc001agk.4,MIB2
uc001agm.4,MIB2
uc001agp.4,MMP23B
uc001agq.4,MMP23B
uc002quu.4,DVL1
uc009vjn.3,LINC01128
uc009vjy.2,INTS11
uc009vjz.3,INTS11
uc009vkb.2,AURKAIP1
uc009vkd.5,MRPL20-AS1
uc009vkf.4,TMEM240
uc009vkl.3,SLC35E2B
uc010nxu.2,OR4F29
uc010nxv.2,OR4F16
uc010nxx.3,LINC00115
uc010nyc.1,HES4
uc010nye.2,MIR200A
uc010nyf.1,MIR429
uc010nyg.2,TTLL10
uc010nyj.2,INTS11
uc010nyk.3,TAS1R3
uc010nym.2,CCNL2
uc010nyn.2,MRPL20
uc010nyo.3,ANKRD65
uc010nyp.2,TMEM88B
uc010nyq.3,MIB2
uc021oem.3,LINC01128
uc021oen.2,RNF223
uc021oep.2,CCNL2
uc021oer.2,
uc021oes.2,FNDC10
uc031pjj.2,LINC01128
uc031pjt.2,SAMD11
uc031pju.2,SAMD11
uc031pkg.2,SAMD11
uc031pkh.2,SAMD11
uc031pkk.2,SAMD11
uc031pkm.2,SAMD11
uc031pko.2,SAMD11
uc031tla.1,MIR6859-1
uc031tlb.1,MIR1302-2
uc031tlm.1,MIR6859-2
uc031tls.1,MIR6723
uc031tlt.2,FAM87B
uc031tlz.1,MIR6726
uc031tma.1,MIR6727
uc031tmc.1,MIR6808
uc031tmg.1,CDK11B
uc031tmi.2,CDK11B
uc031tmj.2,CDK11B
uc031tmk.2,CDK11B
uc031tml.2,CDK11B
uc031tmq.2,SLC35E2B
uc031tms.2,
uc057aty.1,MIR1302-2HG
uc057atz.1,MIR1302-2HG
uc057aua.1,FAM138A
uc057aub.1,
uc057auc.1,
uc057aud.1,
uc057aue.1,
uc057auf.1,
uc057aug.1,
uc057auh.1,
uc057aui.1,
uc057auj.1,
uc057auk.1,
uc057aul.1,RNU6-1100P
uc057aum.1,
uc057aun.1,
uc057aus.1,
uc057aut.1,
uc057auu.1,
uc057aux.1,
uc057auy.1,
uc057auz.1,
uc057ava.1,
uc057avb.1,
uc057avc.1,
uc057avd.1,
uc057avf.1,
uc057avg.1,
uc057avh.1,
uc057avi.1,
uc057avj.1,
uc057avk.1,
uc057avm.1,
uc057avn.1,
uc057avo.1,
uc057avp.1,
uc057avq.1,
uc057avr.1,
uc057avu.1,
uc057avv.1,
uc057avx.1,
uc057avy.1,
uc057avz.1,
uc057awb.1,
uc057awd.1,RNU6-1199P
uc057awf.1,
uc057awg.1,
uc057awh.1,
uc057awi.1,
uc057awj.1,
uc057awk.1,
uc057awl.1,
uc057awm.1,
uc057awn.1,
uc057awo.1,
uc057awp.1,
uc057awq.1,
uc057awr.1,
uc057aws.1,
uc057awt.1,
uc057awu.1,
uc057awv.1,
uc057aww.1,
uc057awx.1,
uc057awy.1,
uc057awz.1,
uc057axa.1,LINC01128
uc057axb.1,LINC01128
uc057axc.1,LINC01128
uc057axd.1,LINC01128
uc057axe.1,LINC01128
uc057axf.1,LINC01128
uc057axg.1,LINC01128
uc057axh.1,LINC01128
uc057axi.1,LINC01128
uc057axj.1,LINC01128
uc057axk.1,LINC01128
uc057axl.1,FAM41C
uc057axm.1,FAM41C
uc057axn.1,
uc057axo.1,
uc057axp.1,LINC02593
uc057axq.1,LINC02593
uc057axr.1,LINC02593
uc057axs.1,SAMD11
uc057axt.1,SAMD11
uc057axu.1,SAMD11
uc057axv.1,SAMD11
uc057axw.1,SAMD11
uc057axx.1,SAMD11
uc057axy.1,SAMD11
uc057axz.1,SAMD11
uc057aya.1,SAMD11
uc057ayb.1,NOC2L
uc057ayc.1,NOC2L
uc057ayd.1,NOC2L
uc057aye.1,NOC2L
uc057ayf.1,NOC2L
uc057ayg.1,KLHL17
uc057ayh.1,KLHL17
uc057ayi.1,KLHL17
uc057ayk.1,PLEKHN1
uc057ayl.1,PLEKHN1
uc057aym.1,PERM1
uc057ayn.1,
uc057ayo.1,HES4
uc057ayp.1,HES4
uc057ayq.1,ISG15
uc057ayr.1,ISG15
uc057ays.1,
uc057ayt.1,AGRN
uc057ayv.1,AGRN
uc057ayw.1,AGRN
uc057ayx.1,AGRN
uc057ayy.1,AGRN
uc057ayz.1,AGRN
uc057aza.1,AGRN
uc057azb.1,AGRN
uc057azc.1,
uc057azd.1,
uc057aze.1,C1orf159
uc057azf.1,C1orf159
uc057azg.1,C1orf159
uc057azh.1,C1orf159
uc057azi.1,C1orf159
uc057azj.1,C1orf159
uc057azk.1,C1orf159
uc057azl.1,C1orf159
uc057azm.1,C1orf159
uc057azn.1,C1orf159
uc057azo.1,C1orf159
uc057azp.1,C1orf159
uc057azq.1,C1orf159
uc057azr.1,C1orf159
uc057azs.1,C1orf159
uc057azt.1,C1orf159
uc057azu.1,
uc057azv.1,TTLL10
uc057azw.1,TTLL10
uc057azx.1,TTLL10
uc057azy.1,TTLL10
uc057azz.1,TNFRSF4
uc057baa.1,TNFRSF4
uc057bab.1,SDF4
uc057bac.1,SDF4
uc057bad.1,SDF4
uc057bae.1,SDF4
uc057baf.1,C1QTNF12
uc057bag.1,C1QTNF12
uc057bah.1,C1QTNF12
uc057bai.1,C1QTNF12
uc057baj.1,
uc057bak.1,UBE2J2
uc057bal.1,UBE2J2
uc057bam.1,UBE2J2
uc057ban.1,UBE2J2
uc057bao.1,UBE2J2
uc057bap.1,UBE2J2
uc057baq.1,UBE2J2
uc057bar.1,UBE2J2
uc057bas.1,UBE2J2
uc057bat.1,UBE2J2
uc057bau.1,UBE2J2
uc057bav.1,UBE2J2
uc057baw.1,UBE2J2
uc057bax.1,UBE2J2
uc057bay.1,UBE2J2
uc057baz.1,LINC01786
uc057bba.1,LINC01786
uc057bbb.1,SCNN1D
uc057bbc.1,SCNN1D
uc057bbe.1,SCNN1D
uc057bbf.1,SCNN1D
uc057bbg.1,SCNN1D
uc057bbh.1,SCNN1D
uc057bbi.1,ACAP3
uc057bbj.1,ACAP3
uc057bbk.1,ACAP3
uc057bbl.1,ACAP3
uc057bbm.1,ACAP3
uc057bbn.1,ACAP3
uc057bbo.1,ACAP3
uc057bbp.1,ACAP3
uc057bbq.1,ACAP3
uc057bbr.1,ACAP3
uc057bbs.1,ACAP3
uc057bbt.1,PUSL1
uc057bbu.1,PUSL1
uc057bbv.1,PUSL1
uc057bbw.1,PUSL1
uc057bbx.1,INTS11
uc057bby.1,INTS11
uc057bbz.1,INTS11
uc057bca.1,INTS11
uc057bcb.1,INTS11
uc057bcc.1,INTS11
uc057bcd.1,INTS11
uc057bce.1,INTS11
uc057bcf.1,INTS11
uc057bcg.1,INTS11
uc057bch.1,INTS11
uc057bci.1,INTS11
uc057bcj.1,INTS11
uc057bck.1,INTS11
uc057bcl.1,INTS11
uc057bcm.1,INTS11
uc057bcn.1,INTS11
uc057bco.1,INTS11
uc057bcp.1,INTS11
uc057bcq.1,INTS11
uc057bcr.1,INTS11
